"/QB (Corner=FF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) X","/QB (Corner=FF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) Y","/QB (Corner=FS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) X","/QB (Corner=FS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) Y","/QB (Corner=SF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) X","/QB (Corner=SF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) Y","/QB (Corner=SS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) X","/QB (Corner=SS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) Y","/QB (Corner=TT,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) X","/QB (Corner=TT,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) Y","/Q (Corner=FF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) X","/Q (Corner=FF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) Y","/Q (Corner=FS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) X","/Q (Corner=FS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) Y","/Q (Corner=SF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) X","/Q (Corner=SF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) Y","/Q (Corner=SS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) X","/Q (Corner=SS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) Y","/Q (Corner=TT,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) X","/Q (Corner=TT,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) Y"
0.6600000000000003,0.03845483505632576,0.6600000000000003,0.02427840425567395,0.6600000000000003,0.04523202224238967,0.6600000000000003,0.02834253310127802,0.6600000000000003,0.03322971651571582,0.6600000000000003,0.6600000000000003,0.6600000000000003,0.6600000000000003,0.6600000000000003,0.6600000000000003,0.6600000000000003,0.6600000000000003,0.6600000000000003,0.6600000000000003
0.6820000000000003,0.03350696860803901,0.6820000000000003,0.02033203530246225,0.6820000000000003,0.03885671376182435,0.6820000000000003,0.02344301179746442,0.6820000000000003,0.02828369469184465,0.6820000000000003,0.6820000000000003,0.6820000000000003,0.6820000000000003,0.6820000000000003,0.6820000000000003,0.6820000000000003,0.6820000000000003,0.6820000000000003,0.6820000000000003
0.7040000000000003,0.02898799088387596,0.7040000000000003,0.01677880763560713,0.7040000000000003,0.03322597606764813,0.7040000000000003,0.01914715430225562,0.7040000000000003,0.02384339997575635,0.7040000000000003,0.7040000000000003,0.7040000000000003,0.7040000000000003,0.7040000000000003,0.7040000000000003,0.7040000000000003,0.7040000000000003,0.7040000000000003,0.7040000000000003
0.7260000000000003,0.02483503496678796,0.7260000000000003,0.0135947796653024,0.7260000000000003,0.02818926446211365,0.7260000000000003,0.01537892033765517,0.7260000000000003,0.01984124849183292,0.7260000000000003,0.7260000000000003,0.7260000000000003,0.7260000000000003,0.7260000000000003,0.7260000000000003,0.7260000000000003,0.7260000000000003,0.7260000000000003,0.7260000000000003
0.7480000000000003,0.02101040203135808,0.7480000000000003,0.01077295269615415,0.7480000000000003,0.0236516416409513,0.7480000000000003,0.01209639851770686,0.7480000000000003,0.01623988557173551,0.7480000000000003,0.7480000000000003,0.7480000000000003,0.7480000000000003,0.7480000000000003,0.7480000000000003,0.7480000000000003,0.7480000000000003,0.7480000000000003,0.7480000000000003
0.7700000000000004,0.01749628993047978,0.7700000000000004,0.008316603881006579,0.7700000000000004,0.01955684281752694,0.7700000000000004,0.009278646442385512,0.7700000000000004,0.0130239541246064,0.7700000000000004,0.7700000000000004,0.7700000000000004,0.7700000000000004,0.7700000000000004,0.7700000000000004,0.7700000000000004,0.7700000000000004,0.7700000000000004,0.7700000000000004
0.7920000000000004,0.01429107236179156,0.7920000000000004,0.006231871918950655,0.7920000000000004,0.01587685847376464,0.7920000000000004,0.006914168198606207,0.7920000000000004,0.01019312853604764,0.7920000000000004,0.7920000000000004,0.7920000000000004,0.7920000000000004,0.7920000000000004,0.7920000000000004,0.7920000000000004,0.7920000000000004,0.7920000000000004,0.7920000000000004
0.8140000000000004,0.01140571524560086,0.8140000000000004,0.004519558457529841,0.8140000000000004,0.01260423531206233,0.8140000000000004,0.004989962399668453,0.8140000000000004,0.007754705621362139,0.8140000000000004,0.8140000000000004,0.8140000000000004,0.8140000000000004,0.8140000000000004,0.8140000000000004,0.8140000000000004,0.8140000000000004,0.8140000000000004,0.8140000000000004
0.8360000000000004,0.008859127390188404,0.8360000000000004,0.003167506204178727,0.8360000000000004,0.00974468614072603,0.8360000000000004,0.003482069859342777,0.8360000000000004,0.005715027725458842,0.8360000000000004,0.8360000000000004,0.8360000000000004,0.8360000000000004,0.8360000000000004,0.8360000000000004,0.8360000000000004,0.8360000000000004,0.8360000000000004,0.8360000000000004
0.8580000000000004,0.006671614641994451,0.8580000000000004,0.002146078345443817,0.8580000000000004,0.007308545045329301,0.8580000000000004,0.002350021387935928,0.8580000000000004,0.004070409058090965,0.8580000000000004,0.8580000000000004,0.8580000000000004,0.8580000000000004,0.8580000000000004,0.8580000000000004,0.8580000000000004,0.8580000000000004,0.8580000000000004,0.8580000000000004
