"/Q (Corner=TT,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) X","/Q (Corner=TT,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) Y","/Q (Corner=SS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) X","/Q (Corner=SS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) Y","/Q (Corner=SF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) X","/Q (Corner=SF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) Y","/Q (Corner=FS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) X","/Q (Corner=FS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) Y","/Q (Corner=FF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) X","/Q (Corner=FF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) Y","/QB (Corner=FF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) X","/QB (Corner=FF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) Y","/QB (Corner=FS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) X","/QB (Corner=FS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) Y","/QB (Corner=SF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) X","/QB (Corner=SF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) Y","/QB (Corner=SS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) X","/QB (Corner=SS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) Y","/QB (Corner=TT,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) X","/QB (Corner=TT,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) Y"
0.6600000000000003,0.6600000000000003,0.6600000000000003,0.6600000000000003,0.6600000000000003,0.6600000000000003,0.6600000000000003,0.6600000000000003,0.6600000000000003,0.6600000000000003,0.6600000000000003,0.03845474800006155,0.6600000000000003,0.02427831119640175,0.6600000000000003,0.04523199580590333,0.6600000000000003,0.02834250462447567,0.6600000000000003,0.03322967020322224
0.6820000000000003,0.6820000000000003,0.6820000000000003,0.6820000000000003,0.6820000000000003,0.6820000000000003,0.6820000000000003,0.6820000000000003,0.6820000000000003,0.6820000000000003,0.6820000000000003,0.03350688192994698,0.6820000000000003,0.02033194278839277,0.6820000000000003,0.03885668764587438,0.6820000000000003,0.02344298370898548,0.6820000000000003,0.02828364876749363
0.7040000000000003,0.7040000000000003,0.7040000000000003,0.7040000000000003,0.7040000000000003,0.7040000000000003,0.7040000000000003,0.7040000000000003,0.7040000000000003,0.7040000000000003,0.7040000000000003,0.02898790435525118,0.7040000000000003,0.01677871546570263,0.7040000000000003,0.03322595015856785,0.7040000000000003,0.0191471264989464,0.7040000000000003,0.02384335429801888
0.7260000000000003,0.7260000000000003,0.7260000000000003,0.7260000000000003,0.7260000000000003,0.7260000000000003,0.7260000000000003,0.7260000000000003,0.7260000000000003,0.7260000000000003,0.7260000000000003,0.02483494840788952,0.7260000000000003,0.01359468769618916,0.7260000000000003,0.02818923867503026,0.7260000000000003,0.01537889274589777,0.7260000000000003,0.01984120295460644
0.7480000000000003,0.7480000000000003,0.7480000000000003,0.7480000000000003,0.7480000000000003,0.7480000000000003,0.7480000000000003,0.7480000000000003,0.7480000000000003,0.7480000000000003,0.7480000000000003,0.02101031530246646,0.7480000000000003,0.01077286083540144,0.7480000000000003,0.02365161591178965,0.7480000000000003,0.01209637108751016,0.7480000000000003,0.01623984009791479
0.7700000000000004,0.7700000000000004,0.7700000000000004,0.7700000000000004,0.7700000000000004,0.7700000000000004,0.7700000000000004,0.7700000000000004,0.7700000000000004,0.7700000000000004,0.7700000000000004,0.01749620292743618,0.7700000000000004,0.008316512082984133,0.7700000000000004,0.01955681709880894,0.7700000000000004,0.009278619143711121,0.7700000000000004,0.01302390866268722
0.7920000000000004,0.7920000000000004,0.7920000000000004,0.7920000000000004,0.7920000000000004,0.7920000000000004,0.7920000000000004,0.7920000000000004,0.7920000000000004,0.7920000000000004,0.7920000000000004,0.01429098501467122,0.7920000000000004,0.006231780180994258,0.7920000000000004,0.01587683273250831,0.7920000000000004,0.00691414101858626,0.7920000000000004,0.0101930830584172
0.8140000000000004,0.8140000000000004,0.8140000000000004,0.8140000000000004,0.8140000000000004,0.8140000000000004,0.8140000000000004,0.8140000000000004,0.8140000000000004,0.8140000000000004,0.8140000000000004,0.01140562751945893,0.8140000000000004,0.004519466814233753,0.8140000000000004,0.01260420952894176,0.8140000000000004,0.004989935339682457,0.8140000000000004,0.007754660123169369
0.8360000000000004,0.8360000000000004,0.8360000000000004,0.8360000000000004,0.8360000000000004,0.8360000000000004,0.8360000000000004,0.8360000000000004,0.8360000000000004,0.8360000000000004,0.8360000000000004,0.008859039286661589,0.8360000000000004,0.003167414718172545,0.8360000000000004,0.009744660309824271,0.8360000000000004,0.003482042931291664,0.8360000000000004,0.005714982222841287
0.8580000000000004,0.8580000000000004,0.8580000000000004,0.8580000000000004,0.8580000000000004,0.8580000000000004,0.8580000000000004,0.8580000000000004,0.8580000000000004,0.8580000000000004,0.8580000000000004,0.006671526200075851,0.8580000000000004,0.002145987094467116,0.8580000000000004,0.007308519173824317,0.8580000000000004,0.002349994609547332,0.8580000000000004,0.004070363584666335
0.8800000000000004,0.8800000000000004,0.8800000000000004,0.8800000000000004,0.8800000000000004,0.8800000000000004,0.8800000000000004,0.8800000000000004,0.8800000000000004,0.8800000000000004,0.8800000000000004,0.004856426165326301,0.8800000000000004,0.001408972652243482,0.8800000000000004,0.005300822884699345,0.8800000000000004,0.001537428754689465,0.8800000000000004,0.002799806192843646
0.9020000000000005,0.9020000000000005,0.9020000000000005,0.9020000000000005,0.9020000000000005,0.9020000000000005,0.9020000000000005,0.9020000000000005,0.9020000000000005,0.9020000000000005,0.9020000000000005,0.003411545635030411,0.9020000000000005,0.0009000492771392756,0.9020000000000005,0.003711585259832175,0.9020000000000005,0.0009788262088739289,0.9020000000000005,0.001862575984497795
0.9240000000000005,0.9240000000000005,0.9240000000000005,0.9240000000000005,0.9240000000000005,0.9240000000000005,0.9240000000000005,0.9240000000000005,0.9240000000000005,0.9240000000000005,0.9240000000000005,0.002313535205073362,0.9240000000000005,0.0005619732328279299,0.9240000000000005,0.002509507196369167,0.9240000000000005,0.0006091700421363526,0.9240000000000005,0.001202374603510767
0.9460000000000005,0.9460000000000005,0.9460000000000005,0.9460000000000005,0.9460000000000005,0.9460000000000005,0.9460000000000005,0.9460000000000005,0.9460000000000005,0.9460000000000005,0.9460000000000005,0.00151834602429786,0.9460000000000005,0.0003444148199281558,0.9460000000000005,0.001642372716003832,0.9460000000000005,0.0003720849943866299,0.9460000000000005,0.0007565614347494109
0.9680000000000005,0.9680000000000005,0.9680000000000005,0.9680000000000005,0.9680000000000005,0.9680000000000005,0.9680000000000005,0.9680000000000005,0.9680000000000005,0.9680000000000005,0.9680000000000005,0.0009683698639342352,0.9680000000000005,0.0002078998215363356,0.9680000000000005,0.001044653906783041,0.9680000000000005,0.0002237525585139711,0.9680000000000005,0.0004661153864121547
0.9900000000000005,0.9900000000000005,0.9900000000000005,0.9900000000000005,0.9900000000000005,0.9900000000000005,0.9900000000000005,0.9900000000000005,0.9900000000000005,0.9900000000000005,0.9900000000000005,0.0006031180838381526,0.9900000000000005,0.0001239816861907024,0.9900000000000005,0.0006488547210677482,0.9900000000000005,0.0001327990766734671,0.9900000000000005,0.0002822757428016321
1.012,1.012,1.012,1.012,1.012,1.012,1.012,1.012,1.012,1.012,1.012,0.000368551417380411,1.012,7.331652027366231e-05,1.012,0.0003953207872703628,1.012,7.799767506299385e-05,1.012,0.0001685877774239341
1.034,1.034,1.034,1.034,1.034,1.034,1.034,1.034,1.034,1.034,1.034,0.0002219398236178648,1.034,4.324039621334207e-05,1.034,0.0002372067482473427,1.034,4.551024099835508e-05,1.034,9.965642612761267e-05
1.056,1.056,1.056,1.056,1.056,1.056,1.056,1.056,1.056,1.056,1.056,0.0001323493359089522,1.056,2.567811633532065e-05,1.056,0.0001407672984542573,1.056,2.654528797473671e-05,1.056,5.860409410201452e-05
1.078000000000001,1.078000000000001,1.078000000000001,1.078000000000001,1.078000000000001,1.078000000000001,1.078000000000001,1.078000000000001,1.078000000000001,1.078000000000001,1.078000000000001,7.869046879469444e-05,1.078000000000001,1.559050737210079e-05,1.078000000000001,8.308624823533575e-05,1.078000000000001,1.563457062555387e-05,1.078000000000001,3.456552170697901e-05
1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,4.714536553178233e-05,1.1,9.894086545456007e-06,1.1,4.919861587702409e-05,1.1,9.441818901122084e-06,1.1,2.071191025535465e-05
